event_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,event_type,mitre_tactic,mitre_technique,mitre_technique_id,confidence
2e7f9b77-c1e6-4c2e-8c7d-151bcfe60e0b,2026-05-30T14:27:49.218721,10.0.81.60,192.168.50.58,62540,8080,ICMP,27050,brute_force,Credential Access,Brute Force,T1110,0.95
949bd870-f195-4c6d-be29-d3a527ca93fb,2026-05-30T14:27:49.556846,10.0.70.31,192.168.27.45,62468,8080,ICMP,3044,normal_traffic,N/A,N/A,N/A,1.0
8e88840a-8ff4-4bde-9d7d-93b54ae97103,2026-05-30T14:27:49.608120,10.0.10.201,192.168.67.28,4414,3306,TCP,45600,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
92f5c0e0-faf2-4fed-b6b9-0dbba3f9445c,2026-05-30T14:27:49.659507,10.0.33.35,192.168.227.201,57823,80,ICMP,6747,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
fd358c83-8f88-4a43-80a1-d254e63eced4,2026-05-30T14:27:49.710593,10.0.164.45,192.168.59.202,20709,8080,TCP,45984,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
adff4330-9b03-4260-8394-eb584216bb14,2026-05-30T14:27:49.764265,10.0.12.241,192.168.195.102,35455,80,TCP,15058,port_scan,Reconnaissance,Active Scanning,T1595,0.95
3773c6db-6112-4937-af50-62f46c9f7e60,2026-05-30T14:27:49.815474,10.0.226.50,192.168.46.35,13645,80,ICMP,7172,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
5155e795-2f2d-4cd0-9379-d803d71b25fd,2026-05-30T14:27:49.866865,10.0.36.101,192.168.189.108,39038,445,TCP,19762,port_scan,Reconnaissance,Active Scanning,T1595,0.95
81907db2-37e6-46eb-8a1a-28382fb6bcf0,2026-05-30T14:27:49.918074,10.0.215.25,192.168.144.149,43294,445,ICMP,24103,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
75c7c81c-e710-4c91-a0ef-c3ceff34fa4e,2026-05-30T14:27:49.969823,10.0.184.22,192.168.208.63,52161,443,TCP,56111,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
7e57d226-545f-43e6-85cb-07d405aa3c07,2026-05-30T14:27:50.021653,10.0.143.68,192.168.149.253,46032,22,UDP,7320,brute_force,Credential Access,Brute Force,T1110,0.95
af8e4d85-125a-4a58-924c-fcbb79b82df3,2026-05-30T14:27:50.072951,10.0.32.76,192.168.104.96,39220,80,TCP,46585,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
f855baac-393d-42ca-b01f-86536081fdf0,2026-05-30T14:27:50.124060,10.0.44.230,192.168.151.213,36261,443,ICMP,24137,port_scan,Reconnaissance,Active Scanning,T1595,0.95
e809e4df-b4ad-44ca-befc-14747bc03d5f,2026-05-30T14:27:50.175756,10.0.12.217,192.168.88.209,44182,8080,UDP,10379,port_scan,Reconnaissance,Active Scanning,T1595,0.95
9d755743-8eb1-4692-b9f1-b207b8f0cc55,2026-05-30T14:27:50.227008,10.0.196.63,192.168.110.17,8938,80,UDP,54471,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
